Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
Laura y el misterio del asesino inesperado,"after years of leave, laura lebrel returns to action. lydia asks him for help on a case: eugenio ortiz, laura's former instructor, has been murdered. but a new detective, hector, finds evidence that incriminates laura. she asks to be allowed to find the killer and lydia gives her 24 hours to solve the case before arresting her.",266.754,8,7.3,es,tv movie,-1
The Conjuring: The Devil Made Me Do It,"paranormal investigators ed and lorraine warren encounter what would become one of the most sensational cases from their files. the fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in u.s. history that a murder suspect would claim demonic possession as a defense.",266.614,4233,7.7,en,horror,-1
Batman Begins,"driven by tragedy, billionaire bruce wayne dedicates his life to uncovering and defeating the corruption that plagues his home, gotham city.  unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - the batman.",265.806,17338,7.7,en,action,-1
The Royal Treatment,"isabella runs her own salon and isn’t afraid to speak her mind, while prince thomas runs his own country and is about to marry for duty rather than love. when izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding, she and prince thomas learn that taking control of their own destiny requires following their hearts.",264.99,390,6.8,en,romance,-1
Ciao Alberto,"with his best friend luca away at school, alberto is enjoying his new life in portorosso working alongside massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as alberto is concerned. he wants more than anything to impress his mentor, but it's easier said than done.",261.672,412,7.5,en,animation,-1
Gone Mom: The Disappearance of Jennifer Dulos,"jennifer dulos, the wealthy, connecticut mother-of-five who mysteriously vanished.",257.852,113,7.8,en,tv movie,-1
Ripper Untold,a detective and a medical examiner join forces to solve a series of horrific murders in victorian london - but one of them harbors a deadly secret.,257.473,75,6.6,en,horror,0
Meander,"after getting a car ride from an unknown man, lisa wakes up in a tube. on her arm is strapped a bracelet with a countdown. she quickly understands that every 8 minutes, fire burns an occupied section. she has no choice but to crawl into safe sections to survive. to know why she’s there and how to get out, lisa will have to face the memories of her dead daughter…",256.866,218,6.1,fr,horror,-1
Zeros and Ones,"called to rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. navigating the capital's darkened streets, he races to a series of ominous encounters to keep the vatican from being blown to bits.",256.443,117,5.3,en,thriller,-1
Snake Eyes: G.I. Joe Origins,"after saving the life of their heir apparent, tenacious loner snake eyes is welcomed into an ancient japanese clan called the arashikage where he is taught the ways of the ninja warrior. but, when secrets from his past are revealed, snake eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",254.31,1028,6.8,en,action,-1
Survive the Game,"when cop david is injured in a drug bust gone wrong, his partner cal chases the two criminals who shot him. they all land at a remote farm owned by troubled vet eric, and as cal and eric plot their defense, more of the gang arrives - along with a wounded david. outnumbered, the three heroes must use stealth, smarts, and good shooting to take down the drug-dealing mob.",252.22,107,5.8,en,action,-1
Riverdance: The Animated Adventure,a young irish boy named keegan and spanish girl named moya journey into a magical world of the megaloceros giganteus who teach them to appreciate riverdance as a celebration of life. based on the stage show phenomenon of the same name and featuring bill whelan’s multi-platinum grammy award-winning music.,250.831,28,5.2,en,animation,-1
Apex,"ex-cop thomas malone is serving a life sentence for a crime he didn’t commit. he is offered a chance at freedom if he can survive a deadly game of apex, in which six hunters pay for the pleasure of hunting another human on a remote island. he accepts, and once he arrives, all hell breaks loose.",249.46,402,5.4,en,action,-1
The Tinder Swindler,"posing as a wealthy, jet-setting diamond mogul, an israeli conman wooed women online then conned them out of millions of dollars. now some victims plan for payback.",246.652,455,7.1,en,documentary,-1
Love Tactics,"an ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",244.573,83,6.7,tr,romance,-1
The Addams Family 2,the addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,244.18,785,7.2,en,animation,-1
